/mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/bin/gfsim -f /tmp/opencode/issue_pkg/moe_combine_gfsim_refmodel_acrc/elf/moe_combine_v2_0828tool.elf 
[VRET] bid=218 cyc=3578
[VRET] bid=219 cyc=3582
[VRET] bid=204 cyc=3598
[VRET] bid=212 cyc=3599
[VRET] bid=221 cyc=3627
[VRET] bid=239 cyc=3633
[VRET] bid=213 cyc=3643
[VRET] bid=244 cyc=3657
[VRET] bid=240 cyc=3677
[VRET] bid=248 cyc=3681
[VRET] bid=222 cyc=3687
[VRET] bid=245 cyc=3701
[VRET] bid=252 cyc=3705
[VRET] bid=249 cyc=3725
[VRET] bid=253 cyc=3749
[VRET] bid=227 cyc=3805
[VRET] bid=228 cyc=3809
[VRET] bid=2 cyc=3821
[VRET] bid=21 cyc=3825
[VRET] bid=7 cyc=3829
[VRET] bid=12 cyc=3845
[VRET] bid=230 cyc=3854
[VRET] bid=17 cyc=3861
[VRET] bid=25 cyc=3879
[VRET] bid=26 cyc=3883
[VRET] bid=231 cyc=3898
[VRET] bid=34 cyc=3921
[VRET] bid=35 cyc=3925
[VRET] bid=28 cyc=3938
[VRET] bid=235 cyc=3942
[VRET] bid=43 cyc=3963
[VRET] bid=44 cyc=3967
[VRET] bid=29 cyc=3983
[VRET] bid=37 cyc=3984
[VRET] bid=52 cyc=4005
[VRET] bid=53 cyc=4009
Memory: 0x10200 - 0x10250 (Size=0KB) [.rodata]
Memory: 0x10254 - 0x10277 (Size=0KB) [.eh_frame_hdr]
Memory: 0x10278 - 0x102eb (Size=0KB) [.eh_frame]
Memory: 0x112ec - 0x118fb (Size=1KB) [.text]
Memory: 0x12900 - 0x1291f (Size=0KB) [.init_array]
Memory: 0x12920 - 0x12937 (Size=0KB) [.data.rel.ro]
Memory: 0x14000 - 0x2585b (Size=70KB) [.bss]
Memory: 0x26000 - 0x26027 (Size=0KB) [.sbss]
Memory: 0x26030 - 0x8036030 (Size=131136KB) [stack mem]
Memory: 0x4000802000 - 0x4008803000 (Size=131076KB) [map mem]

At /mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/emulator/SysCall.h 294 EcallAgent:
Bad Syscall Request: syscall(20e00, 0, 1d000, 1d000, 21000, 25000, 8);

FATAL: gfsim received signal 6
/mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/bin/gfsim(+0x1039dc)[0xaaaad63f39dc]
linux-vdso.so.1(__kernel_rt_sigreturn+0x0)[0xffff872fa8dc]
/lib/aarch64-linux-gnu/libc.so.6(gsignal+0xe0)[0xffff86e5ad88]
/lib/aarch64-linux-gnu/libc.so.6(abort+0x114)[0xffff86e47aac]
/mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/bin/gfsim(+0x167a00)[0xaaaad6457a00]
/mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/bin/gfsim(+0x155208)[0xaaaad6445208]
/mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/bin/gfsim(+0x15a950)[0xaaaad644a950]
/mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/bin/gfsim(+0x40cd94)[0xaaaad66fcd94]
/mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/bin/gfsim(+0x31834)[0xaaaad6321834]
/lib/aarch64-linux-gnu/libc.so.6(__libc_start_main+0xe8)[0xffff86e47e10]
/mnt/workspace/gitCode/cann/Dev-experience/v300_tag_0828/SuperScalarModel/bin/gfsim(+0x102b10)[0xaaaad63f2b10]
timeout: the monitored command dumped core
